Student Enrolment Key,Unit of Study Identifier,Semester,Mode of Study,Gender,Age Category,Dom/Int,Mark,Canvas access Week 1,Canvas access Week 2,Canvas access Week 3,Canvas access Week 4,Canvas access Week 5,Canvas access Week 6,Canvas access Week 7,Canvas access Week 8,Canvas access Week 9,Canvas access Week 10,Canvas access Week 11,Canvas access Week 12,Canvas access Week 13,Canvas access Mid-semester break,Canvas access STUVAC,SUM canvas Access
97,UNIT O,1,Full Time,M,19-21,International,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
98,UNIT X,2,Full Time,F,18 and Under,Domestic,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
99,UNIT W,2,Full Time,M,19-21,International,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
100,UNIT T,2,Full Time,M,19-21,Domestic,63,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
101,UNIT G,2,Full Time,F,19-21,International,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14
102,UNIT K,1,Full Time,M,22-25,Domestic,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
103,UNIT G,2,Full Time,F,19-21,Domestic,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
104,UNIT K,1,Full Time,M,19-21,Domestic,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
105,UNIT G,2,Full Time,F,19-21,Domestic,70,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14
106,UNIT H,2,Full Time,F,18 and Under,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
107,UNIT G,2,Full Time,F,19-21,Domestic,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
108,UNIT S,1,Full Time,M,19-21,Domestic,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
109,UNIT V,2,Full Time,M,19-21,International,73,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,13
110,UNIT Q,2,Full Time,M,18 and Under,Domestic,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
111,UNIT S,2,Part Time,M,19-21,Domestic,50,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,5
112,UNIT Q,2,Full Time,M,22-25,International,39,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,7
113,UNIT G,2,Full Time,F,19-21,Domestic,57,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,10
114,UNIT S,1,Full Time,M,19-21,Domestic,83,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,9
115,UNIT S,1,Full Time,M,19-21,International,34,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
116,UNIT O,1,Full Time,F,19-21,International,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
